item-id,0,1,2
0005019281,-0.018207399095474922,-0.011322186217518841,-0.004424164179064192
0005119367,-0.021686179635674378,-0.014036680255405944,-0.005255965735717675
076780192X,-0.019704983801671096,-0.006068120506941959,0.011713262385980904
0767802799,-0.018587035859817636,-0.014312185386877917,0.0017314897541301172
0767803434,-0.018283556142337717,-8.2268380209261e-05,0.026113679860146854
0767805534,-0.018488171839585548,-0.004518568160774013,0.01664491437614111
0767805712,-0.01869590081320132,-0.008243710733555816,-0.011620402327246728
0767809254,-0.020423407521334473,-0.008275335131694962,0.009229901029524727
0767811089,-0.01940589890310145,-0.0124377145198889,-0.005777485310601627
0767815335,-0.017924082670682864,-0.0039462983120200695,0.011539537638836965
0767817664,-0.01945565848212915,-0.005850426482029765,0.0010516414811228508
0767824555,-0.020294552360866643,-0.012141285205087303,-0.0018761057539703647
0767824571,-0.019929584475376762,-0.012654783812657241,-0.008316695048459031
0767827759,-0.014096412118359665,0.006615406605348976,0.03870117389161177
0767830555,-0.019629809017075332,-0.012513820234930976,-0.0005748518389936284
0767834739,-0.015325877431974555,0.035799303195727154,0.08806024011563666
0767836359,-0.019439737019926538,-0.0073148631593297755,0.00041904441111598255
0767839129,-0.01429395498257011,-0.0053869384966427295,0.010739546913909402
0767853636,-0.01887878331147744,-0.004344948579410005,0.0013743827868141056
0780621832,-0.0201372359685342,-0.014597292401762605,-0.005522177357082461
0780622383,-0.020797489577518598,-0.010641583162392977,-0.00116710633710162
0780622537,-0.018188760998123082,-0.0009892148999109266,0.02339340513432251
0780623614,-0.018170848264369245,0.0006669719605899706,-0.0031237301004715464
078062582X,-0.015968480156601114,7.426449943904958e-05,0.020815358603119102
0780626702,-0.017444214501013976,9.444208404274412e-05,0.010010171461788139
0780635299,-0.017861601904849787,-0.0057877438233352235,0.018711638920324382
0782008372,-0.018501377602926684,8.844806612912348e-05,0.00991408975470865
0782010792,-0.021221259613623634,-0.014598166746548668,-0.0016578851885344515
0783112750,-0.01819966337602658,-0.012249284754169558,-0.0008842157932020954
0783116926,-0.01997449111381917,-0.01368758503181415,-0.0014242533338092674
0783217048,-0.020669747172512656,-0.00799923103153115,-0.0022297694062896403
0783225857,-0.021029301622336318,-0.016181631050817696,-0.005427062070484041
0783225911,-0.019222032337313944,-0.007696749356410497,0.003114533667049918
0783226853,-0.020743651282063808,-0.009535902241594769,-0.007802980345428439
078322687X,-0.019452569630876933,-0.008619205426430708,0.012242048618696166
