item-id,rating
B000EWD7TU,1
B00AHKLZDY,1
B001TC8PNM,2
B0152197H8,2
B00005JONU,2
B008X7JBPM,2
B00H3WCT4I,2
B00FV6XK2I,2
B000AXW0WS,2
B004WKRQTM,2
B00BHSAV6W,3
B002H02V9O,3
B00DJUQIHM,3
B001HZ4K7G,3
B00005JP3K,3
6300160270,3
B00F3KJSEG,3
B000EHQU1W,3
B00SLXRAGA,3
B0091JJ24Q,3
B0079QDAFK,3
B000FQJPRI,3
B000NVKZWY,3
B00IMOM4EQ,3
B006G18XN8,3
B0052T6XLY,3
B00IJLM0V4,3
B0094J4CD4,3
B000PDZ9SU,3
B00KB8JB9M,4
0849922372,4
B00C7C1J68,4
B000PAU2ZS,4
B00JJSDPBA,4
B00B8L3S5O,4
B00TQ8FSWC,4
B0096WOKWM,4
B000G1TETG,4
B000GHIVNU,4
B0038ASYTI,4
B00ANVZ8JE,4
B000JMKKI6,5
B001R7IH5A,5
B000R9YLIQ,5
B00F8M1DAQ,5
B0062NTKVE,5
B002EWD0BS,5
B00AJXO3QK,5
B009AVCADK,5
B0001DCXTM,5
B00B1DC1CA,5
B00AM3B8KQ,5
B004X7I7A6,5
B002KJAIG0,5
B00062DKMM,5
B0192PESFG,5
B001VC995S,5
B0002MQFGY,5
B00HHITD60,5
B003YJEO24,5
B00GVHA04C,5
B002YE26MA,6
B00JAFDFBM,6
B001ICUVPS,6
B00006JXWB,6
B000TGVD1U,6
B000LSAIZI,6
B00004Y6AE,6
B000S6TNLI,6
B000I2J6K0,6
B00067WTGA,6
B001BEK85Q,7
B0176SAQIY,7
B0009WPKYA,7
B000K7JY7S,7
B000BD68AM,7
B00030DD1K,7
B001PO7J9A,7
B00095NX9G,7
B009WSAVLE,7
0783116640,7
B00028G6FI,7
B0014N0X5E,7
B004AN1VJ2,8
B0000A2ZR7,8
B0016PWWRC,8
B018Y6BV04,8
B001TWT0DQ,8
B00005JNS4,8
B000227EMI,8
B0007514BM,8
B000Z6RH7I,8
B001O2MWGI,8
B00004TY4Q,8
B00HW2PS3S,8
B007OYK32K,8
B000TEUSQ8,8
B005XB8T9K,8
B00M0JTYJC,8
B004TFTE90,8
B001NY6YPW,8
B00BX9ADE0,9
B00GXXTTJQ,9
B00006JDQF,9
B000090W7H,9
B000062XEM,9
B002C6VMG6,9
B00DZ2ZP4Q,9
B00MEUZIJC,9
B00GOT15N2,9
630354200X,9
B00000K501,9
B000RZP472,9
B00C6WHPF8,9
0510539610,9
B00BG3YE7K,9
B00AQ4WJM2,9
B00BEZEFM4,9
7883686887,9
B00944V4KI,9
B004BBDHFO,10
B00005B21A,10
B00FKTCXGA,10
B00FYYS9D2,10
B00M8HWGU0,10
B005JZBPHS,10
B000B5XPFG,10
B00ZCOFBEE,10
6303450199,10
B004YVO5ZM,10
B005DFHQRM,10
B00QX0ISV4,10
B006FKNBSC,10
B000QX0LE6,10
B003INBNXY,10
B00F5GIQFK,10
B0052ZFFT4,10
B00BEZECEA,10
B001B187CU,10
B006W7L3TC,10
B00065EAZU,10
6303075940,10
B005XO7524,10
B00P2968EQ,10
B00NJADEAG,10
6302749336,10
B001BTZVDA,10
B000WOSAUQ,10
B000VDDE0O,10
B00UOW1XQ4,10
B0058M07US,10
B000UUX2P0,10
B000083C59,11
B003X27I8O,11
B00006RCNF,11
B000Y1NNH2,11
B00641Y2ZS,11
B0007YXPRE,11
6303450202,11
B0009RQRR4,11
B000B5871I,11
B00008J2I7,11
B00GX00CI6,11
B001AXU1DC,11
B0055CP9LS,11
B0007514CG,11
B000MGBLY6,11
B01F5KLOZY,11
B0018Y5NVI,11
B00005BIG4,11
