user-id,rating
A0040548BPHKXMHH3NTI,12
A0045750NMY09KVSTE01,7
A0070287EH1P1FHWO3GW,10
A0149220O8WD7KG3O5XR,18
A0160612BLIWRHROHLLE,7
A0221881VJG1DV9M63H2,18
A0283642BURXFWRSJIJT,7
A0293382VV3VQQ607PY4,9
A0322174KPHFYVAJWTR2,7
A0346431PV98JX8MFDKG,11
A0464351OZXPUPKGI6HO,10
A05308081UG71LSV3EE3,7
A05802985UN4SSZAWOCI,8
A0637833V7MU6VSMH5PE,11
A0675716UF1O1EERO8JI,11
A0685888WB02Q69S553P,8
A0718784TOWF9DX1DOFD,13
A0725659L4DQHV5NQC5C,8
A0769183K7L2H54MJRG4,12
A08161909WK3HU7UYTMW,9
A0817904HQMN5QXY2MTW,9
A08553752N7KUI4EWMNW,8
A0859025PHS4N7X4RFT3,7
A0896517PN4N2KMFUHMW,8
A0897547HGJQA5LSC6E5,7
A0933858UGQ2WIEV5EYS,7
A0978836QSB5X62PLBB8,7
A0986665A7J4V94FK3RZ,11
A1004AX2J2HXGL,8
A1004HZ4AR10UI,18
A10090497ELQ2XP1YB3I,10
A1009LH3UAC3P,10
A100BBKBDGGRHV,18
A100GZ77D21HTZ,10
A100JCBNALJFAW,35
A100JY2S79BBM6,14
A100K3KEMSVSCM,9
A100L918633LUO,13
A100OJ8LFVPMPT,9
A100R1NLW9HH7C,7
A100R561QXDNF5,7
A100RFQHFO005W,10
A100RW34WSLTUW,31
A100S7GRTNJX7V,13
A100TUZVB01NTC,8
A100TWBGZRT50A,25
A100UD67AHFODS,14
A100V0YLKSBJPV,8
A100V5QEICGPDA,20
A100WFKYVRPVX7,23
A100WO06OQR8BQ,42
A1010CHKPMJGZ4,9
A10169B1F7EQ9T,9
A10175AMUHOQC4,67
A1019IB75PTZII,12
A101BX7DD7EUZ1,8
A101CHSX5A99U5,7
A101DCZL9UCRMP,7
A101FH66IRVOEQ,7
A101IGU6UDKW3X,156
A101KQ0Q8ZPKYH,14
A101L3HXTII0I5,8
A101L4HF0IZ33C,20
A101M0DV20772,9
A101NRU9QBXZA2,7
A101R2PNWRP58,27
A101Z7JW8WGCB,12
A102193YTFIWXQ,7
A1021ZTAEAH38L,8
A1022R52JDJVMA,7
A1027EV8A9PV1O,23
A1027LMU2JJF9L,8
A1028ONTJNKBFV,14
A1029QPGAKN80T,9
